"Sept. 30, 2020",9-30-2020,21.47B
"June 30, 2020",6-30-2020,18.69B
"March 31, 2020",3-31-2020,17.74B
"Dec. 31, 2019",12-31-2019,21.08B
"Sept. 30, 2019",9-30-2019,17.65B
"June 30, 2019",6-30-2019,16.89B
"March 31, 2019",3-31-2019,15.08B
"Dec. 31, 2018",12-31-2018,16.91B
"Sept. 30, 2018",9-30-2018,13.73B
"June 30, 2018",6-30-2018,13.23B
"March 31, 2018",3-31-2018,11.97B
"Dec. 31, 2017",12-31-2017,12.97B
"Sept. 30, 2017",9-30-2017,10.33B
"June 30, 2017",6-30-2017,9.321B
"March 31, 2017",3-31-2017,8.032B
"Dec. 31, 2016",12-31-2016,8.809B
"Sept. 30, 2016",9-30-2016,7.011B
"June 30, 2016",6-30-2016,6.436B
"March 31, 2016",3-31-2016,5.382B
"Dec. 31, 2015",12-31-2015,5.841B
"Sept. 30, 2015",9-30-2015,4.501B
"June 30, 2015",6-30-2015,4.042B
"March 31, 2015",3-31-2015,3.543B
"Dec. 31, 2014",12-31-2014,3.851B
"Sept. 30, 2014",9-30-2014,3.203B
"June 30, 2014",6-30-2014,2.91B
"March 31, 2014",3-31-2014,2.502B
"Dec. 31, 2013",12-31-2013,2.586B
"Sept. 30, 2013",9-30-2013,2.016B
"June 30, 2013",6-30-2013,1.813B
"March 31, 2013",3-31-2013,1.458B
"Dec. 31, 2012",12-31-2012,1.585B
"Sept. 30, 2012",9-30-2012,1.262B
"June 30, 2012",6-30-2012,1.184B
"March 31, 2012",3-31-2012,1.058B
"Dec. 31, 2011",12-31-2011,1.131B
"Sept. 30, 2011",9-30-2011,954.00M
"June 30, 2011",6-30-2011,895.00M
"March 31, 2011",3-31-2011,731.00M